Alias,Women Count,Men Count,Total Voters,Turnout,Perc Turnout,GD Share of the turnout,GD vote count,GD share of the perc turnout,
00.08.01,831,610,1441,877,0.61,0.44698,392,0.27203331,
00.08.02,676,524,1200,829,0.69,0.40169,333,0.2775,
00.08.03,882,636,1518,980,0.65,0.41122,403,0.265480896,
00.08.04,708,513,1221,822,0.67,0.40754,335,0.274365274,
00.08.05,723,536,1259,808,0.64,0.47153,381,0.302621128,
00.08.06,770,652,1422,943,0.66,0.40297,380,0.267229255,
00.08.07,704,479,1183,803,0.68,0.39228,315,0.266272189,
00.08.08,701,524,1225,779,0.64,0.42234,329,0.268571429,
00.08.09,960,720,1680,1097,0.65,0.39471,433,0.257738095,
00.08.10,422,256,678,461,0.68,0.42082,194,0.286135693,
00.08.11,1250,922,2172,1385,0.64,0.39206,543,0.25,
00.08.12,1413,984,2397,1522,0.63,0.43101,656,0.273675428,
00.08.13,653,459,1112,734,0.66,0.39782,292,0.262589928,
00.08.14,635,446,1081,746,0.69,0.43834,327,0.302497687,
00.08.15,1310,975,2285,1366,0.6,0.43119,589,0.257768053,
00.08.16,856,653,1509,907,0.6,0.44983,408,0.270377734,
00.08.17,903,672,1575,994,0.63,0.45875,456,0.28952381,
