Row Labels,Sum of votes
00.22.67,392
00.22.68,178
00.22.70,741
00.22.71,809
00.22.72,320
00.22.73,440
00.22.74,690
00.22.75,385
00.22.76,325
00.22.77,292
00.22.78,119
00.22.79,538
00.22.80,441
00.22.81,622
00.23.01,1239
00.23.02,1500
00.23.03,1605
00.23.04,748
00.23.05,225
00.23.06,391
00.23.07,106
00.23.08,475
00.23.09,369
00.23.10,1168
00.23.11,577
00.23.12,744
00.23.13,225
00.23.14,397
00.23.15,182
00.23.16,206
00.23.17,496
00.23.18,203
00.23.19,609
00.23.20,401
00.23.21,324
00.23.22,652
00.23.23,987
00.23.24,1043
00.23.25,194
00.23.26,764
00.23.27,579
00.23.28,593
00.23.29,134
00.23.30,170
00.23.31,123
00.23.32,846
00.23.33,371
00.23.34,508
00.23.35,262
00.23.36,209
00.23.37,173
00.23.38,859
00.23.39,892
00.23.40,818
00.23.41,674
00.23.42,570
00.23.43,172
00.23.44,268
00.23.45,117
00.23.46,77
00.23.47,157
00.23.48,266
00.23.49,79
00.23.50,146
00.23.51,345
00.23.52,340
00.24.01,648
00.24.02,758
00.24.03,302
00.24.04,663
00.24.05,226
00.24.06,35
00.24.07,188
00.24.08,471
00.24.09,331
00.24.10,263
00.24.11,55
00.24.12,508
00.24.13,117
00.24.14,112
00.24.15,92
00.24.16,374
00.24.17,493
00.24.18,112
00.24.19,268
00.24.20,243
00.24.21,148
00.24.22,621
00.24.23,56
00.24.24,353
00.24.25,122
00.24.26,177
00.24.27,36
00.24.28,163
00.24.29,292
00.24.30,63
00.24.31,51
00.24.32,562
00.24.33,32
00.24.34,28
00.24.35,131
00.24.36,124
00.24.37,150
00.24.38,206
00.24.39,323
00.24.40,116
00.24.41,51
00.24.42,152
00.24.43,482
00.24.44,118
00.24.45,146
00.24.46,154
00.24.47,190
00.24.48,430
00.24.49,232
00.24.50,443
00.25.01,1217
00.25.02,192
00.25.03,133
00.25.04,156
00.25.05,67
00.25.06,365
00.25.07,159
00.25.08,52
00.25.09,79
00.25.10,196
00.25.11,184
00.25.12,167
00.25.13,144
00.25.14,119
00.25.15,46
00.25.16,327
00.25.17,117
00.25.18,160
00.25.19,101
00.25.20,227
00.25.21,292
00.25.22,362
00.25.23,206
00.25.24,260
00.25.25,280
00.25.26,207
00.25.27,249
00.25.28,68
00.25.29,220
00.25.30,435
00.25.31,143
00.25.32,386
00.25.33,270
00.25.34,369
00.25.35,241
00.25.36,125
00.25.37,164
00.25.38,145
00.25.39,161
00.26.01,1321
00.26.02,497
00.26.03,251
00.26.04,608
00.26.05,531
00.26.06,88
00.26.07,705
00.26.08,802
00.26.09,297
00.26.10,124
00.26.11,363
00.26.12,290
00.26.13,147
00.26.14,532
00.26.15,156
00.26.16,141
00.26.17,450
00.26.18,116
00.26.19,237
00.26.20,224
00.26.21,221
00.26.22,567
00.26.23,311
00.26.24,246
00.26.25,66
00.26.26,246
00.26.27,217
00.26.28,59
00.26.29,297
00.26.30,237
00.26.31,82
00.26.32,35
00.26.33,232
00.26.34,121
00.26.35,160
00.26.36,116
00.26.37,277
00.26.38,250
00.26.39,148
00.26.40,55
00.27.01,1053
00.27.02,1308
00.27.03,423
00.27.04,829
00.27.05,1006
00.27.06,1509
00.27.07,980
00.27.08,885
00.27.09,546
00.27.10,628
00.27.11,843
00.27.12,605
00.27.13,261
00.27.14,878
00.27.15,808
00.27.16,810
00.27.17,590
00.27.18,831
00.27.19,345
00.27.20,519
00.27.21,571
00.27.22,289
00.27.23,652
00.27.24,736
00.27.25,517
00.27.26,758
00.27.27,1304
00.27.28,873
00.27.29,843
00.27.30,1097
00.27.31,519
00.27.32,519
00.27.33,1230
00.27.34,402
00.27.35,919
00.27.36,390
00.27.37,355
00.27.38,538
00.27.39,535
00.27.40,363
00.27.41,89
00.28.01,745
00.28.02,705
00.28.03,747
00.28.04,715
00.28.05,479
00.28.06,1093
00.28.07,635
00.28.08,96
00.28.09,332
00.28.10,378
00.28.11,378
00.28.12,240
00.28.13,659
00.28.14,106
00.28.15,136
00.28.16,160
00.28.17,230
00.28.18,261
00.28.19,120
00.28.20,78
00.28.21,111
00.28.22,49
00.28.23,236
00.28.24,107
00.28.25,84
00.28.26,153
00.28.27,85
00.28.28,67
00.28.29,218
00.28.30,474
00.28.31,344
00.28.32,458
00.28.33,466
00.28.34,148
00.28.35,92
00.28.36,249
00.28.37,121
00.28.38,470
00.28.39,164
00.28.40,500
00.28.41,179
00.28.42,191
00.28.43,419
00.28.44,158
00.28.45,326
00.28.46,338
00.28.47,83
00.28.48,272
00.28.49,241
00.29.01,934
00.29.02,321
00.29.03,376
00.29.04,184
00.29.05,370
00.29.06,523
00.29.07,356
00.29.08,130
00.29.09,96
00.29.10,180
00.30.01,733
00.30.02,1121
00.30.03,773
00.30.04,1427
00.30.05,960
00.30.06,731
00.30.07,681
00.30.08,1308
00.30.09,516
00.30.10,653
00.30.11,771
00.30.12,523
00.30.13,106
00.30.14,952
00.30.15,796
00.30.16,781
00.30.17,222
00.30.18,402
00.30.19,728
00.30.20,1233
00.30.21,268
00.30.22,725
00.30.23,390
00.30.24,612
00.30.25,371
00.30.26,464
00.30.27,897
00.30.28,493
00.30.29,803
00.30.30,804
00.30.31,853
00.30.32,545
00.32.01,778
00.32.02,700
00.32.03,715
00.32.04,859
00.32.05,821
00.32.06,1460
00.32.07,1276
00.32.08,678
00.32.09,864
00.32.10,788
00.32.11,668
00.32.12,784
00.32.13,717
00.32.14,1082
00.32.15,1370
00.32.16,1242
00.32.17,837
00.32.18,651
00.32.19,846
00.32.20,746
00.32.21,825
00.32.22,1167
00.32.23,674
00.32.24,714
00.32.25,787
00.32.26,559
00.32.27,279
00.32.28,894
00.32.29,481
00.32.30,762
00.32.31,320
00.32.32,450
00.32.33,446
00.32.34,1327
00.32.35,399
00.32.36,352
00.32.37,154
00.32.38,807
00.32.39,683
00.32.40,986
00.32.41,816
00.32.42,324
00.32.43,460
00.32.44,831
00.32.45,487
00.32.46,718
00.32.47,593
00.32.48,725
00.32.49,740
00.32.50,812
00.32.51,671
00.32.52,533
00.32.53,504
00.32.54,827
00.32.55,1598
00.32.56,931
00.32.57,169
00.32.58,596
00.32.59,637
00.32.60,398
00.32.61,934
00.32.62,780
00.32.63,817
00.32.64,609
00.32.65,256
00.32.66,740
00.32.67,854
00.32.68,504
00.32.69,650
00.32.70,498
00.32.71,1396
00.32.72,404
00.32.73,625
00.32.74,562
00.32.75,737
00.32.76,305
00.32.77,877
00.32.78,879
00.32.79,921
00.32.80,1070
00.32.81,232
00.32.82,633
00.32.83,756
00.32.84,881
00.32.85,253
00.32.86,112
00.32.87,156
00.32.88,305
00.32.89,216
00.32.90,467
00.32.91,509
00.32.92,600
00.32.93,766
00.32.94,382
00.32.95,940
00.33.01,933
00.33.02,830
00.33.03,861
00.33.04,948
00.33.05,619
00.33.06,1112
00.33.07,605
00.33.08,770
00.33.09,305
00.33.10,726
00.33.11,122
00.33.12,781
00.33.13,588
00.33.14,780
00.33.15,502
00.33.16,511
00.33.17,278
00.33.18,924
00.33.19,1373
00.33.20,760
00.33.21,527
00.33.22,278
00.33.23,270
00.33.24,132
00.33.25,1099
00.33.26,681
00.33.27,845
00.33.28,831
00.33.29,914
00.33.30,662
00.33.31,987
00.33.32,197
00.33.33,150
00.33.34,879
00.33.35,107
00.35.01,1313
00.35.02,1491
00.35.03,763
00.35.04,1091
00.35.05,1419
00.35.06,1168
00.35.07,1216
00.35.08,1312
00.35.09,1063
00.35.10,766
00.35.11,430
00.35.12,406
00.35.13,1241
00.35.14,1328
00.35.15,1200
00.35.16,312
00.35.17,622
00.35.18,187
00.35.19,423
00.35.20,733
00.35.21,278
00.35.22,664
00.35.23,1045
00.35.24,529
00.35.25,318
00.35.26,842
00.35.27,665
00.35.28,616
00.35.29,526
00.35.30,1010
00.35.31,418
00.35.32,283
00.35.33,292
00.35.34,53
00.35.35,104
00.35.36,1251
00.35.37,517
00.35.38,386
00.36.01,1016
00.36.02,565
00.36.03,1227
00.36.04,942
00.36.05,1054
00.36.06,994
00.36.07,593
00.36.08,434
00.36.09,1002
00.36.10,622
00.36.11,696
00.36.12,215
00.36.13,1067
00.36.14,205
00.36.15,841
00.36.16,385
00.36.17,217
00.36.18,1090
00.36.19,722
00.36.20,909
00.36.21,432
00.36.22,442
00.36.23,260
00.36.24,74
00.37.01,1357
00.37.02,1479
00.37.03,798
00.37.04,1387
00.37.05,662
00.37.06,661
00.37.07,403
00.37.08,1465
00.37.09,810
00.37.10,1194
00.37.11,211
00.37.12,933
00.37.13,335
